Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Gaylord Perry\perryga01,CLE,64.0,9.0,53%,10.8,24,16,.600,1.92,41,40,1,29,5,1,342.2,253,79,73,17,82,16,234,12,0,11,1345,0.978,168
2,Wilbur Wood\woodwi01,CHW,58.0,7.0,48%,10.7,24,17,.585,2.51,49,49,0,20,8,0,376.2,325,119,105,28,74,5,193,7,0,11,1490,1.059,126
3,Mickey Lolich\lolicmi01,DET,27.0,3.0,23%,7.4,22,14,.611,2.50,41,41,0,23,4,0,327.1,282,100,91,29,74,5,250,11,0,6,1321,1.088,127
4,Catfish Hunter\hunteca01,OAK,26.0,2.0,22%,5.7,21,7,.750,2.04,38,37,1,16,5,0,295.1,200,74,67,21,70,6,191,3,0,3,1148,0.914,140
5,Jim Palmer\palmeji01,BAL,20.0,2.0,17%,5.3,21,10,.677,2.07,36,36,0,18,3,0,274.1,219,73,63,21,70,1,184,1,1,4,1094,1.053,149
6,Luis Tiant\tiantlu01,BOS,16.0,1.0,13%,6.5,15,6,.714,1.91,43,19,12,12,6,3,179.0,128,45,38,7,65,5,123,0,0,0,713,1.078,169
7,Sparky Lyle\lylesp01,NYY,3.0,0.0,3%,3.6,9,5,.643,1.92,59,0,56,0,0,35,107.2,84,25,23,3,29,7,75,0,0,5,427,1.050,154
8,Nolan Ryan\ryanno01,CAL,2.0,0.0,2%,6.2,19,16,.543,2.28,39,39,0,20,9,0,284.0,166,80,72,14,157,4,329,10,0,18,1154,1.137,128
1,Steve Carlton\carltst01,PHI,120.0,24.0,100%,12.1,27,10,.730,1.97,41,41,0,30,8,0,346.1,257,84,76,17,87,8,310,1,2,8,1351,0.993,182
2,Steve Blass\blassst01,PIT,35.0,0.0,29%,4.0,19,8,.704,2.49,33,32,0,11,2,0,249.2,227,80,69,18,84,8,117,4,1,6,1024,1.246,135
3,Fergie Jenkins\jenkife01,CHC,23.0,0.0,19%,5.8,20,12,.625,3.20,36,36,0,23,5,0,289.1,253,111,103,32,62,7,184,7,1,3,1176,1.089,118
4,Mike Marshall\marshmi01,MON,8.0,0.0,7%,4.0,14,8,.636,1.78,65,0,56,0,0,18,116.0,82,26,23,3,47,7,95,2,2,8,465,1.112,198
5,Clay Carroll\carrocl02,CIN,6.0,0.0,5%,1.5,6,4,.600,2.25,65,0,54,0,0,37,96.0,89,27,24,5,32,9,51,1,0,2,392,1.260,144
5,Gary Nolan\nolanga01,CIN,6.0,0.0,5%,3.3,15,5,.750,1.99,25,25,0,6,2,0,176.0,147,48,39,13,30,5,90,1,0,5,689,1.006,162
5,Tom Seaver\seaveto01,NYM,6.0,0.0,5%,5.2,21,12,.636,2.92,35,35,0,13,3,0,262.0,215,92,85,23,77,2,249,5,0,8,1060,1.115,115
5,Don Sutton\suttodo01,LAD,6.0,0.0,5%,6.6,19,9,.679,2.08,33,33,0,18,9,0,272.2,186,78,63,13,63,1,207,4,1,9,1061,0.913,162
9,Bob Gibson\gibsobo01,STL,3.0,0.0,3%,7.1,19,11,.633,2.46,34,34,0,23,4,0,278.0,226,83,76,14,88,11,208,3,2,10,1119,1.129,139
9,Milt Pappas\pappami01,CHC,3.0,0.0,3%,4.2,17,7,.708,2.77,29,28,0,10,3,0,195.0,187,72,60,18,29,3,80,8,0,2,791,1.108,136

