Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+
1,Jim Palmer\palmeji01,BAL,98.0,15.0,82%,8.5,23,11,.676,2.09,39,38,1,25,10,1,323.0,253,87,75,20,80,4,193,2,0,4,1268,1.031,169
2,Catfish Hunter\hunteca01,NYY,74.0,7.0,62%,8.1,23,14,.622,2.58,39,39,0,30,7,0,328.0,248,107,94,25,83,4,177,5,0,7,1294,1.009,144
3,Rollie Fingers\fingero01,OAK,25.0,2.0,21%,2.3,10,6,.625,2.98,75,0,59,0,0,24,126.2,95,43,42,13,33,5,115,6,0,6,493,1.011,122
4,Jim Kaat\kaatji01,CHW,7.0,0.0,6%,7.8,20,14,.588,3.11,43,41,1,12,1,0,303.2,321,121,105,20,77,0,142,9,2,0,1279,1.311,126
4,Frank Tanana\tananfr01,CAL,7.0,0.0,6%,7.4,16,9,.640,2.62,34,33,1,16,5,0,257.1,211,80,75,21,73,6,269,7,1,8,1029,1.104,135
6,Vida Blue\bluevi01,OAK,2.0,0.0,2%,4.7,22,11,.667,3.01,39,38,1,13,2,1,278.0,243,103,93,21,99,4,189,5,2,4,1153,1.230,121
6,Rich Gossage\gossari01,CHW,2.0,0.0,2%,8.3,9,8,.529,1.84,62,0,49,0,0,26,141.2,99,32,29,3,70,15,130,5,0,3,583,1.193,212
8,Rick Wise\wiseri01,BOS,1.0,0.0,1%,1.7,19,12,.613,3.95,35,35,0,17,1,0,255.1,262,126,112,34,72,1,141,4,1,6,1091,1.308,105
1,Tom Seaver\seaveto01,NYM,98.0,15.0,82%,7.9,22,9,.710,2.38,36,36,0,15,5,0,280.1,217,81,74,11,88,6,243,4,1,7,1115,1.088,146
2,Randy Jones\jonesra01,SDP,80.0,7.0,67%,7.6,20,12,.625,2.24,37,36,1,18,6,0,285.0,242,94,71,17,56,9,103,0,0,1,1124,1.046,156
3,Al Hrabosky\hraboal01,STL,33.0,2.0,28%,3.9,13,3,.813,1.66,65,0,41,0,0,22,97.1,72,27,18,3,33,8,82,1,0,3,393,1.079,228
4,John Montefusco\montejo01,SFG,2.0,0.0,2%,6.9,15,9,.625,2.88,35,34,1,10,4,0,243.2,210,85,78,11,86,12,215,8,2,6,1018,1.215,133
5,Don Gullett\gulledo01,CIN,1.0,0.0,1%,3.1,15,4,.789,2.42,22,22,0,8,3,0,159.2,127,49,43,11,56,4,98,2,1,3,648,1.146,149
5,Andy Messersmith\messean01,LAD,1.0,0.0,1%,6.5,19,14,.576,2.29,42,40,2,19,7,1,321.2,244,92,82,22,96,2,213,5,0,8,1276,1.057,149
5,Don Sutton\suttodo01,LAD,1.0,0.0,1%,3.5,16,13,.552,2.87,35,35,0,11,4,0,254.1,202,87,81,17,62,5,175,3,0,7,1031,1.038,119
